MEM driver,NIOM driver,MEM no driver,NIOM no driver
0.0006,-56.401,0.0133,-70.96
0.0088,-51.67100000000001,0.0212,-69.279
-0.0026,-46.74,0.0149,-67.217
-0.0084,-41.507,0.0075,-65.04
-0.0009,-36.071999999999996,0.0107,-62.869
0.0019,-30.576,0.0146,-60.768
-0.006,-25.235,0.0136,-58.825
-0.015,-20.257,0.009000000000000001,-56.827
-0.0105,-15.56,0.0063,-54.588
-0.0013,-10.995,0.0107,-52.141999999999996
-0.009000000000000001,-6.7034,0.0116,-49.591
-0.0221,-2.9642,0.0024,-47.026
-0.0182,0.068128,-0.0022,-44.408
-0.0071,2.4866,0.0037,-41.743
-0.0075,4.6044,0.0031,-39.113
-0.0153,6.6270000000000024,-0.01,-36.552
-0.0134,8.4976,-0.0145,-34.06
-0.0034,10.113999999999999,0.001,-31.568
-0.0055,11.43,0.0089,-28.932
-0.0173,12.542,-0.0043,-26.116999999999997
-0.0161,13.575,-0.0098,-23.241
-0.0033,14.397,0.0036,-20.467
0.0011,15.003,0.0104,-17.922
-0.0096,15.585999999999999,-0.0005,-15.527000000000001
-0.02,16.107,-0.0117,-13.133
-0.0125,16.379,-0.0064,-10.819
-0.0013,16.414,0.0071,-8.6616
-0.0092,16.317999999999998,0.005,-6.5820000000000025
-0.0202,16.088,-0.0102,-4.6231
-0.0172,15.794,-0.0158,-2.804
-0.0127,15.421,-0.0089,-1.0414
-0.0157,14.955,-0.0042,0.57021
-0.0232,14.429,-0.0111,1.9057
-0.0232,13.71,-0.0187,2.9586
-0.0077,12.869000000000002,-0.0109,3.802
-0.0019,12.179,-0.0054,4.4843
-0.0165,11.587,-0.0157,4.994
-0.0192,10.884,-0.0177,5.3345
-0.0059,10.183,-0.0074,5.4949
-0.0052,9.6104,-0.0059,5.4605
-0.0163,9.1135,-0.0122,5.3002
-0.019,8.663,-0.0165,5.1391
-0.0102,8.2048,-0.0144,4.9555
-0.0069,7.7271,-0.0065,4.5835
-0.0166,7.2723,-0.0058,4.0567
-0.0216,6.7395,-0.0126,3.5921
-0.0139,6.0306,-0.0135,3.1018
-0.008,5.1431,-0.0107,2.3794
-0.0124,4.0043,-0.0122,1.6038
-0.0212,2.5891,-0.0194,1.0175
-0.0179,1.0711,-0.0233,0.59192
-0.0036,-0.36191999999999996,-0.0151,0.21443
-0.0078,-1.6946,-0.0115,-0.15625
-0.0259,-2.9614,-0.0228,-0.51166
-0.0223,-4.1688,-0.0259,-0.9229700000000001
-0.0066,-5.376,-0.0144,-1.4874
-0.0101,-6.6421,-0.009000000000000001,-2.1782
-0.0225,-8.0029,-0.0154,-3.0245
-0.0197,-9.4653,-0.0228,-4.0439
-0.0072,-10.962,-0.0175,-4.9913
-0.0085,-12.382,-0.0056,-5.7125
-0.0247,-13.634,-0.0112,-6.2614
-0.0332,-14.767000000000001,-0.026000000000000002,-6.7146
-0.0274,-15.873,-0.0249,-7.1396
-0.0259,-16.921,-0.0183,-7.5803
-0.0363,-17.887,-0.0217,-8.0519
-0.0465,-18.762999999999998,-0.0288,-8.575
-0.0438,-19.558,-0.0305,-9.202
-0.0351,-20.368,-0.0238,-9.9051
-0.04,-21.123,-0.0194,-10.702
-0.0514,-21.689,-0.026000000000000002,-11.55
-0.0488,-22.165,-0.0296,-12.372
-0.0443,-22.643,-0.0201,-13.251
-0.0551,-23.131999999999998,-0.0123,-14.207
-0.065,-23.69400000000001,-0.0212,-15.2
-0.05,-24.255,-0.0332,-16.183
-0.0181,-24.693,-0.0248,-17.111
-0.0007,-25.051,-0.0136,-17.98
-0.001,-25.455,-0.0264,-18.872
0.0081,-26.076,-0.0416,-19.871
0.0252,-26.93,-0.0357,-21.003
0.0279,-27.842,-0.0261,-22.31
0.0206,-28.644000000000002,-0.0294,-23.72
0.0203,-29.371,-0.0365,-24.994
0.027000000000000003,-30.241999999999997,-0.0327,-26.18
0.0215,-31.36,-0.0214,-27.491999999999997
-0.0057,-32.65,-0.0215,-28.72
-0.0276,-33.825,-0.0325,-29.645
-0.0146,-34.731,-0.0352,-30.385
0.028999999999999998,-35.613,-0.0289,-31.08
0.0801,-36.639,-0.0265,-31.761999999999997
0.1191,-37.786,-0.0316,-32.403
0.1463,-38.946,-0.0363,-33.062
0.1703,-39.978,-0.0311,-33.813
0.1704,-40.872,-0.0257,-34.671
0.1356,-41.753,-0.0345,-35.696
0.1053,-42.659,-0.042,-36.97
0.0991,-43.46,-0.0341,-38.42
0.087,-44.224,-0.0291,-39.829
0.0592,-45.107,-0.0395,-41.021
0.0393,-45.983999999999995,-0.055,-41.885
0.0385,-46.748999999999995,-0.057999999999999996,-42.457
0.0431,-47.482,-0.0423,-42.87600000000001
0.0345,-48.201,-0.0287,-43.3
0.0127,-48.836999999999996,-0.0297,-43.82100000000001
-0.0053,-49.371,-0.0288,-44.405
-0.0111,-49.894,-0.0167,-45.09
-0.0115,-50.415,-0.0024,-45.918
-0.0178,-50.902,0.0022,-46.791000000000004
-0.0232,-51.477,-0.0015,-47.62600000000001
-0.0113,-52.17100000000001,0.0077,-48.468999999999994
-0.0006,-53.005,0.0232,-49.458999999999996
-0.0137,-53.909,0.0145,-50.663999999999994
